"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2018"
"Location","White","Black","Hispanic","American Indian/Alaska Native","Asian","Native Hawaiian/Other Pacific Islander","Two Or More Races","Total",Footnotes
"United States","0.60","0.12","0.18","0.01","0.06","<.01","0.03","1.00","1"
"Alabama","0.66","0.26","0.04","<.01","0.01","N/A","0.02","1.00"
"Alaska","0.60","0.03","0.07","0.16","0.06","0.01","0.07","1.00"
"Arizona","0.54","0.04","0.32","0.04","0.03","<.01","0.02","1.00"
"Arkansas","0.72","0.15","0.08","0.01","0.02","<.01","0.03","1.00"
"California","0.37","0.05","0.39","<.01","0.15","<.01","0.03","1.00"
"Colorado","0.68","0.04","0.22","<.01","0.03","<.01","0.03","1.00"
"Connecticut","0.66","0.10","0.17","<.01","0.05","N/A","0.02","1.00"
"Delaware","0.62","0.21","0.09","<.01","0.04","N/A","0.03","1.00"
"District of Columbia","0.37","0.45","0.11","N/A","0.04","N/A","0.03","1.00"
"Florida","0.53","0.15","0.26","<.01","0.03","<.01","0.02","1.00"
"Georgia","0.52","0.31","0.10","<.01","0.04","<.01","0.02","1.00"
"Hawaii","0.21","0.02","0.10","N/A","0.38","0.10","0.20","1.00"
"Idaho","0.82","0.01","0.13","0.01","0.02","N/A","0.02","1.00"
"Illinois","0.61","0.14","0.17","<.01","0.06","<.01","0.02","1.00"
"Indiana","0.79","0.09","0.07","<.01","0.02","N/A","0.02","1.00"
"Iowa","0.86","0.03","0.06","<.01","0.03","N/A","0.02","1.00"
"Kansas","0.76","0.05","0.12","0.01","0.03","N/A","0.03","1.00"
"Kentucky","0.85","0.08","0.04","<.01","0.01","N/A","0.02","1.00"
"Louisiana","0.59","0.32","0.05","0.01","0.02","N/A","0.02","1.00"
"Maine","0.93","0.01","0.02","<.01","0.01","N/A","0.02","1.00"
"Maryland","0.50","0.29","0.10","<.01","0.06","N/A","0.03","1.00"
"Massachusetts","0.71","0.07","0.12","<.01","0.07","N/A","0.03","1.00"
"Michigan","0.75","0.14","0.05","<.01","0.03","N/A","0.03","1.00"
"Minnesota","0.80","0.06","0.05","0.01","0.05","N/A","0.03","1.00"
"Mississippi","0.57","0.38","0.03","<.01","0.01","N/A","0.01","1.00"
"Missouri","0.80","0.11","0.04","<.01","0.02","<.01","0.03","1.00"
"Montana","0.86","<.01","0.04","0.06","0.01","N/A","0.03","1.00"
"Nebraska","0.79","0.04","0.11","0.01","0.02","N/A","0.03","1.00"
"Nevada","0.49","0.09","0.29","0.01","0.08","0.01","0.04","1.00"
"New Hampshire","0.90","0.01","0.04","N/A","0.03","N/A","0.02","1.00"
"New Jersey","0.55","0.13","0.21","<.01","0.10","N/A","0.02","1.00"
"New Mexico","0.37","0.02","0.49","0.09","0.02","N/A","0.02","1.00"
"New York","0.55","0.14","0.19","<.01","0.09","N/A","0.03","1.00"
"North Carolina","0.63","0.21","0.10","0.01","0.03","<.01","0.03","1.00"
"North Dakota","0.84","0.03","0.04","0.05","0.02","N/A","0.02","1.00"
"Ohio","0.79","0.12","0.04","<.01","0.02","N/A","0.03","1.00"
"Oklahoma","0.65","0.07","0.11","0.08","0.02","<.01","0.07","1.00"
"Oregon","0.75","0.02","0.13","0.01","0.05","<.01","0.04","1.00"
"Pennsylvania","0.76","0.10","0.08","<.01","0.04","N/A","0.02","1.00"
"Rhode Island","0.72","0.06","0.16","N/A","0.03","N/A","0.03","1.00"
"South Carolina","0.64","0.26","0.06","<.01","0.02","N/A","0.02","1.00"
"South Dakota","0.82","0.02","0.04","0.09","0.01","N/A","0.03","1.00"
"Tennessee","0.74","0.17","0.05","<.01","0.02","N/A","0.02","1.00"
"Texas","0.41","0.12","0.40","<.01","0.05","<.01","0.02","1.00"
"Utah","0.78","0.01","0.14","0.01","0.02","0.01","0.03","1.00"
"Vermont","0.93","0.01","0.02","<.01","0.02","N/A","0.02","1.00"
"Virginia","0.62","0.19","0.10","<.01","0.07","<.01","0.04","1.00"
"Washington","0.68","0.04","0.13","0.01","0.09","0.01","0.05","1.00"
"West Virginia","0.92","0.04","0.01","<.01","0.01","N/A","0.02","1.00"
"Wisconsin","0.81","0.06","0.07","0.01","0.03","<.01","0.02","1.00"
"Wyoming","0.84","0.00","0.10","0.02","0.01","N/A","0.02","1.00"
"Puerto Rico","0.01","<.01","0.99","N/A","N/A","N/A","<.01","1.00"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
